Topic,Keywords
0,"story, boring, feel, character, gunplay, enemy, ability, design, bland, interesting"
1,"rate, drop, item, low, farming, fake, thing, lie, fix, im"
2,"nexon, greedy, nexons, monetization, thanks, expected, made, man, trap, save"
3,"grind, grinding, part, hour, get, fun, farming, level, chance, time"
4,"received, product, free, mission, time, grind, get, boring, make, color"
5,"boring, soooo, kinda, man, naaaaaaaah, freind, destinyyeah, mega, mehhhhh, zzzzzzzzzzzzzzzzzzz"
6,"account, support, ticket, lost, nexon, link, steam, refund, email, linking"
7,"bad, suck, kinda, hour, meh, descended, fuckthis, manteinances, emergency, mhmmm"
8,"trash, garbage, solo, copy, fixing, update, absolute, deaf, debuff, bumper"
9,"shaders, shader, loading, crash, compiling, load, screen, crashing, fix, preparing"
10,"season, invasion, new, update, seasonal, puzzle, solo, hailey, preseason, mechanic"
11,"micro, transaction, microtransactions, predatory, mobile, microtransaction, win, ridiculous, pay, obnoxious"
12,"pc, crash, crashing, setting, spec, issue, cpu, minimum, recommended, requirement"
13,"skin, slot, buy, paint, currency, use, pay, cosmetic, money, character"
14,"crash, crashing, disconnect, keep, memory, constant, error, min, ram, gb"
15,"monetization, predatory, monetisation, ripoff, aggressive, grab, decent, pricing, cash, monetised"
16,"female, skin, character, porn, male, woman, outfit, disgusting, korean, skimpy"
17,"lag, stuttering, stutter, mouse, unplayable, lagging, fix, hz, laggy, polling"
18,"bullet, sponge, gunplay, enemy, boring, shooting, better, boss, brick, hp"
19,"clone, bad, worse, copied, good, chick, bungie, movement, boring, mid"
20,"data, collection, accept, personal, policy, party, information, opt, steal, company"
21,"looter, shooter, bewbs, gunplay, style, pw, everything, character, boy, cheap"
22,"repetitive, boring, bored, loop, fast, aaand, sooo, degenerate, boredom, longevity"
23,"screen, start, launch, load, black, loading, wont, crashed, cant, ive"
24,"optimization, bad, optimized, poor, horrible, shelf, nasa, overall, terrible, super"
25,"mission, boring, repetitive, anyones, design, waste, impressed, fun, story, imo"
26,"bunny, kill, boring, run, aoe, went, fun, stand, cause, gon"
27,"error, connect, connection, connecting, login, server, failed, disconnect, screen, cant"
28,"worse, worst, part, parkor, doe, wayvoid, interception, way, killer, exist"
29,"version, worse, ist, ngl, jank, inferior, good, janky, hayal, everyway"
30,"korean, slop, korea, gacha, ai, grindfest, liked, soulless, waste, funservice"
31,"gooner, bait, toast, cheek, gooners, butt, puy, goonerbait, farted, vapid"
32,"rng, respect, bad, spend, neck, shouldt, dropseven, elseand, tooo, researched"
33,"weapon, character, player, level, mod, thing, get, new, point, system"
34,"mission, failed, time, experiencing, disconnected, auto, unplayable, let, thanks, lose"
35,"player, devs, content, update, thank, playerbase, mod, new, listening, method"
36,"waste, time, value, hour, btch, burner, dis, recommend, uhh, cared"
37,"voice, acting, english, sound, feel, cube, dubbing, dialogue, black, poor"
38,"directx, dx, supported, error, launch, window, corporate, system, problem, updated"
39,"button, control, mouse, cant, intel, key, jerk, keyboardmouse, deadzones, rebind"
40,"bland, uninspired, grown, feel, describe, appreciate, rid, dislike, quite, unfinished"
41,"fps, setting, rtx, lowest, low, rethink, perspective, laggyi, bonzo, refresh"
42,"grab, cash, income, spare, robbed, terrible, incomplete, blackscreen, included, skinner"
43,"violation, detectedgame, practice, data, player, private, trust, predatory, tactic, engaging"
44,"child, horny, infant, daughter, grindier, grindey, infirmary, gene, foster, kindameh"
45,"power, game, dye, etc, cpu, crap, recommend, chunk, run, object"
46,False
