title,id,review_text,recommendation,posted_date,playtime
Warframe,Bowieober,"Dealing 5 billion damage to a 100 health points enemy is crucial for the plot, trust me",Recommended,2022.11.28,1.0
Warframe,BamBoozlerC0L3,Welcome to Warframe. Play the same mission 231 times for the peepeepoopoo blueprint.,Recommended,2022.05.08,4.0
Warframe,Mumbo Magic,"The best part of this game is figuring out what you want to to next because there's so much to do, however the worst part of this game is figuring out what you want to to next because there's so much to do.",Recommended,2024.01.13,767.3
Warframe,RushCit,"I hope you guys from The First Descendant, Destiny and Division read this, FAQ 1) does Warframe have raids? no Warframe doesn't have raid like Destiny does, it used to have back then but its too hectic and hard to understand so dev decide to pull it off and redesign it properly maybe in the future warframe might have raids 2) is Warframe pay to win? yes and no, you can buy your way to skip and build your equipment and upgrade your mods but in the end there's nothing to win you're only making yourself strong in shorter period of time, free to play player can get the same result just by playing earning parts and selling the parts to other player for currency, the market system in warframe is healthy its like Counter Strike with their skin market. 3) is Warframe easy? yes and no, Warframe is easy to get into but its hard to understand not to mention to master the modding system in the game, this is why even till these day people will argue about builds and how some mods work. 4) is Warframe repetitive? yes every looter shooter is repetitive my suggestion is take the game slow enjoy at your own pace leave if you want and come back when you feel like it. 5) why Warframe design is so weird? Warframe design is based on its story if you play the story you'll understand why the design is based that way. 6) how good is Warframe story? Extremely good on every update everyone wait for the story and some returnee player came back just to continue the story thats how good the story in Warframe is. 7) where bewbs and buttss? sadly Warframe isn't as sexualised as The First Descendant so for you coomer out there it might disappoint you. 8) what is that kid and guy I saw people playing in Warframe why cant I be them? I don't want to spoil you but you have to play certain quest to unlock this and there's a story behind it once you unlock it then you know why people doesn't want to spoil this. 9) why are people saying ""Just Play Warframe"" well because it is a good game unlike any other looter shooter Warframe basically popularize this genre and have been doing the right thing for almost 11 yeas and still staying strong and bringing new thing to this genre. 10) are there any PVP? sadly PVP in Warframe is dead and its awful if you're into PVP Destiny and Division does it better 11) I saw people playing Warframe in an open world environment is it an open world game? No its not only a certain area has an open world view but its not a true open world game so if you're into a true open world game this is not your cup of tea.  I've played this game before it got release on steam, I've seen ups and down changes and reversion, so if you want a game that appreciate your time Warframe is your game doesn't matter even if you left for years and return there's always community that are willing to help you re-learn, if you're disappointed by Division, Destiny, The First Descendant, give Warframe a try there's nothing to lose but your time, Warframe is so far the only game that hear what the players want and manage to kept their investor happy doing so, they wont force you to buy DLC to play new story or to progress, this is very rare thing in these day of age where most dev lock things behind a pay wall, so have a go! my comment probably wont even get read by anyone but I hope this help if anyone saw this.",Recommended,2024.07.03,2.0
Warframe,Bob_Von_Bobert,"Once Cross save is available, I will start playing this game again. until then, ill just say i had a great time playing it on console.",Recommended,2023.11.05,143.6
Warframe,DieselBaddAss,I'm waiting for Cross-save to happen.,Recommended,2023.08.09,810.6
Warframe,Tanaku,I finally finished the tutorial.,Recommended,2024.01.22,1.0
Warframe,White Dragon,"Dealing 5 billion damage to a 100 health points enemy is crucial for the plot, trust me",Recommended,2024.05.06,39.1
Warframe,SageThe3rd,"100 hours in, and i dont know what im doing really, im having fun.... but i have no idea what im doing",Recommended,2023.04.03,214.8
Warframe,Nekken,After 10K hours in this game i can say it's okay.,Recommended,2023.02.12,13.0
