sentence,topic
no warframe doesnt have raid like destiny does it used to have back then but its too hectic and hard to understand so dev decide to pull it off and redesign it properly maybe in the future warframe might have raids  is warframe pay to win,1
yes and no warframe is easy to get into but its hard to understand not to mention to master the modding system in the game this is why even till these day people will argue about builds and how some mods work,1
is warframe repetitive,1
yes every looter shooter is repetitive my suggestion is take the game slow enjoy at your own pace leave if you want and come back when you feel like it,-1
why warframe design is so weird,1
sadly warframe isnt as sexualised as the first descendant so for you coomer out there it might disappoint you,1
what is that kid and guy i saw people playing in warframe why cant i be them,1
sadly pvp in warframe is dead and its awful if youre into pvp destiny and division does it better  i saw people playing warframe in an open world environment is it an open world game,26
no its not only a certain area has an open world view but its not a true open world game so if youre into a true open world game this is not your cup of tea,2
hours in and i dont know what im doing really im having fun but i have no idea what im doing,-1
what is this game even warframe is a third person pve loot shooter where its about collecting resources and items to craft new guns and armor so you can kill things in more ways,-1
its as if the game says look i get it you dont wanna work to get that shotgun but its gonna cost you quite a bit to buy it the main you will be buying is instead things like weapon slots warframe slots boosters accessories and so on,1
sometimes its not so bad other times it goes a beyone extreme,-1
if games with grinding doesnt suit you at all maybe you wanna skip this one,3
im currently perma banned and i still recommend this game,-1
why all the frames got so much ass,-1
if you dont have a job and no money then this game is for you,5
ive played for  hours and understand nothing,0
you need to be on crack to understand the gameplay and marijuana to understand the story,12
whenever i boot this mf up my real life comes to a halt for several weeks until i burn out only to start the cycle again,-1
please dont rate this review so i can forget about it peacefully,6
not pay to win before i start my review i want to dispell this notion,24
anyone who tells you this game is pay to win is wrong or lying to you,24
youre blindsiding yourself if youre going to make the argument that this game is pay to win,24
if you dont like grinding or mmotype games warframe probably isnt for you,1
i would still give it a go even if you dont like those types of games but youre probably not going to enjoy it if you arent a patient person,0
if you dont like the fact that you arent guaranteed certain things and have to wait for warframes and weapons to finish building before you can use them or that you have to farm resources to build them then you probably wont enjoy the game,1
list of things that actually happen in this game  you collect the exploded parts of a mathematician who blew himself up trying to perform a domain expansion ceo of a planetary sector fatally wounds a homeless child after harassing them for a comic book,14
bring cross save i have over k hours on ps and i cant start again pleaseeeeee,-1
yeah its grindy,3
i might be schizophrenic because there is a woman talking in my head every  seconds,0
then one day youll be going about your life and suddenly all neuron function will cease and only one synapse will fire,0
dispense with the idea that warframe is free  that aspect is entirely irrelevant free or not a bad game is still bad and certainly not worth a damn,1
this game certainly demands time investment and that aspect can put off new players that are expecting to progress at a rapid pace,-1
its hard to make a perfect game impossible in fact but warframe certainly pushes some boundaries,1
theres no denying that it starts off slow,-1
now it is not without its downsides,-1
it is rare to face a bug that truly causes major problems,2
graphical optimisation isnt great especially with the open world maps,-1
dont shy away because you think youll be bottle necked into buying your way to progress it is never the case,-1
this game is not for everyone,0
if grindy games are not for you i would reccomend you at least try warframe but if you get bored and leave id understand,1
i would say an  out of  solely for the point that it is still seminiche as a looter grindy game and that not everything is intuitive and has a decent learning curve,3
pros free isnt destiny good devs isnt made by bungie space mom  cons  hours gone,9
grind for a disgusting amount of time,3
send help,0
im not sure how i feel about the game yet ill check back in another  hours,0
this cant be right,0
fifth week  hours i have a problem,0
how to ruin your life   download warframe  learn how to press buttons on your keyboard to play warframe  grind for hundreds and thousands of hours for that one thing that looks really cool,1
congratulations you now have no life,0
lets overgeneralize a bit  game has big guns that go pew pew or brrap brrap or psssssssssssshhhh that kill enemies to varying degrees,8
so  hours of having warfarm launched and i still havent spent a penny its about the statement now,1
do you want to do things over and over and over again without any purpose,0
i swear im gonna drink one gallon of water every time someone finds this helpful this review is anything but helpful,-1
been playing this game off and on for  years only leaving because its so hard not to play other games,0
i have not seen the sun in months,0
and yet without the grind i have nothing,3
i am weary sick beaten down utterly devoid of all that is good in this world,-1
the tutorial is very pretty but is so laughably bad at teaching you the mechanics of the game it almost feels like a dated meme,4
want to be permainvisible and nail everybody with a bow and arrow,8
this is both good and bad,0
bad becausethere is always something to do,-1
warframe is not a game you can beat,1
