sentence,topic
welcome to warframe,26
the best part of this game is figuring out what you want to to next because theres so much to do however the worst part of this game is figuring out what you want to to next because theres so much to do,-1
how good is warframe story,19
extremely good on every update everyone wait for the story and some returnee player came back just to continue the story thats how good the story in warframe is,-1
why are people saying just play warframe well because it is a good game unlike any other looter shooter warframe basically popularize this genre and have been doing the right thing for almost  yeas and still staying strong and bringing new thing to this genre,-1
ive played this game before it got release on steam ive seen ups and down changes and reversion so if you want a game that appreciate your time warframe is your game doesnt matter even if you left for years and return theres always community that are willing to help you relearn if youre disappointed by division destiny the first descendant give warframe a try theres nothing to lose but your time warframe is so far the only game that hear what the players want and manage to kept their investor happy doing so they wont force you to buy dlc to play new story or to progress this is very rare thing in these day of age where most dev lock things behind a pay wall so have a go,-1
once cross save is available i will start playing this game again,-1
until then ill just say i had a great time playing it on console,7
i finally finished the tutorial,51
after k hours in this game i can say its okay,7
seeing as tennocon just happened a few days ago and has been gathering a lot interests since then i think it would be a good idea to finally make a review on this thing,40
i mean i have like what  hours on this game so i think i qualified to talk about this game,7
each warframe comes with a set of abilities to make them all special and their mobility allows them to get across the stages with ease and will become second nature before you know it,14
this means that it doesnt take long for new players to reach the highest level with their gear with encouraging them to try new things as they play the game,-1
this is one of warframes strongest points,26
this makes the game extremely replayable as you can experiment with different builds for your gear,14
lucky warframe is one of the very best when it comes to this almost all items can be bought from the games shop but they cost alot compared to how easy some of them are,27
even tho i just said the game is extremely replayable this is still a loot shooter meaning there will be grinding at times,14
but hey ive over  hours on the game and im still able to enjoy the game most of the time,7
if you like what you hear then give it a try its free after all,30
free to play done right,0
free to play done correctly,0
graphics i had to start off by reviewing the graphical quality of this game because its so beautiful,1
everything is well polished and goodlooking the appearance of warframe will not hesitate to immerse you into the environment,-1
on top of that graphically the game is extremely well optimized compared to other games and can run on many older computers without an issue,1
clearly a lot of love has been put into this game and you can tell that immediately just by looking at how beautiful and immersive the game is,63
warframes content and gameplay are some of the best for any freetoplay game out there,79
everything in warframe is available without paying if you are willing to grind for it,27
one of the best freemium models out there seriously,0
you can earn platinum the premium currency ingame without ever spending a cent on it,48
,2
that is a fantastic amount of customization and one of the things i love most about the game,39
warframe has a ton of cosmetics and theyre all extremely beautiful and wonderful,-1
in fact some of the best cosmetics in the game can only be purchased with real money the tennogen cosmetics are handsomely crafted with love by individual creators and your money goes back to those creators supporting them and allowing them to make more wonderful content for the game,8
still if you invest your time into the grind you can acquire nearly anything you want for no cost at all,-1
one great thing about warframe is that they are constantly updating the game and delivering new content to us,55
while its not always the best and most optimized content i see more love poured into warframe content than that of any other game at the current time,-1
the devs maintain a strong relationship with the community and actively ask questions to the players about what they want to see and what they want changed and do frequent livestreams for fun and for discussing where they are in terms of development with the game,11
their strong community commitment is one of the great things that many people love about warframe des transparency and willingness to maintain a strong bond with us is something that not many other game companies can brag about,66
so if you read my entire thing and some of my points sparked your interest i would definitely reccommend giving the game a go,13
i have loved every second ive played of warframe and i can honestly say its one of the only games whose future updates im currently excited for,-1
it takes time to grind for resources and build things but if you can develop patience that grinding pays off and the game will only get deeper and more complex as a result,3
i am unfortunately at the point where i cant quite get into it anymore which is sad but the memories i have from warframe are super happy to say the least,32
making the choice to try warframe is one of the best decisions ive ever made,-1
i made lifelong friends while playing this game,15
thanks to de for everything theyve done i always felt supported as a player here,-1
absolutely legendary game so much fun to be had,-1
if you somehow have not tried this game yet please give it a go,13
cheers,6
the movement in warframe is absolutely glorious,26
did i mention the graphics because this game looks gorgeous,1
the warframes the weapons near infinite variety and so much fun,14
playing with friends is the best,15
but its also a lot of fun,52
highly recommended,25
overall the devs are extremely generous and for the most part listen to the community also red text,11
when you play this game itll be good,-1
been doing that for some time now not bad,7
would recommend fantastic for a free game,0
i recommend warframe solely because it is a good game,19
daunting yes warframe is huge  as it well should be after almost six continuous years of postrelease development but that quantity upholds a consistent level of quality rivalling any other well received well reviewed title,-1
you can reach a decent point in the game after some investment but it will take thousands of hours to truly complete everything it has to offer,-1
warframe is truly unique an experience ive never encountered anywhere else and truthfully not tailored to everyones particular tastes,26
are they all great,-1
questing has been improving greatly over the years and the content in the last couple has provided amazing lore and gameplay mechanics with some exceptional writing  and they seem only to be improving,67
in a couple weeks youll have a few frames and a bunch of weapons in a couple of months youll have accrued quite the varied arsenal and within a year youll likely have almost everything if not all of it,-1
the combat of warframe is simple and yet incredibly complex,-1
the latest of which the massive open world of fortuna has turned out to be and incredible display of amazing and well detailed level design,38
warframe bears perhaps the most forgiving free to play scheme ever  and that is because you can obtain everything without ever paying a penny,27
platinum the premium currency can be obtained by simply trading ingame items to players  one can accrue thousands upon thousands without ever putting money into this and that is what is recommended,48
bottom line  warframe is a great game free or not,27
you should give it a go  and make friends its the best way to play,-1
the best  hours ive ever spent,7
would highly reccomend it,25
de has done a fantastic job at taking a mediocre game and transforming it into a content giant with a great community and a satisfying game loop of farming resources and building weapons and new frames,68
i have met many good friends and made lots of memories in warframe,32
and its free,30
thank you de for what you have done,-1
i think everyone should at least try this amazing game and experience its dedicated development team and community managers,-1
i give warframe a near perfect as far as games go,19
believe me though  its worth it,20
i really do love this game,28
even if i go on hiatus for months or even longer i can always come back to it and there will be something for me to do,-1
i enjoy the gameplay loop im invested in so many of the characters and the amount of customization available for your warframe is just fantastic,-1
this game is entirely freetoplay but its one i gladly put money into,49
i love it,16
grind the new update step,12
as a girl who grew up playing with dolls and dressup games this game is a perfect middle ground for me and my cousin to both enjoy,15
as someone who really believes in showing gratitude i have spent a lot of money to give back to the developers,-1
this game is a wonderful work of art,1
hours in pretty good game so far,7
first week its ok second week cool game third week wow great game fourth week  hours,-1
also has tons of playable characters warframes that have special magic powers like going invisible or throwing stars which you can already equip normally,14
i like zephyr,-1
tons of collectible guns and such with notsomuch space to store them but its a pretty nice shooty shooty bang bang game for people who enjoy things like destiny  borderlands uniques or the mindless grind of minecraft,-1
but theres similar things in other reviews and you can prob just google the game itself to learn more about the amazing timesink that is warframe,-1
its probably my favorite thing that warframe does that other games dont,-1
though if i had spent money i could probably have hit mr at around k hours rather than k but i enjoy the grind so its really up to you,3
every time i come back the game is significantly better than it used to be which is surprising because its always been good,-1
i seriously recommend it as long as you dont mind grinding,3
everything except skins are available for free as long as you dont mind working for what you want and even the in game currency is obtainable through player to player trading,8
i cant praise digital extremes enough for demonstrating good game development,42
hail to space mom,5
and yet i continue for the grind never stops,3
to cut to the chase its a good game,77
if you can figure out the core mechanics especially modding your weapons and frames youll be fine protip the community is not bad ask for help but not handouts if you need it,14
also the warframe wiki is your best friend for finding stuff and figuring stuff out,-1
good because there is always something to do,-1
my favorite thing about warframe is that it allows you to hop on do a thing or two with or with out friends and hop off,-1
yes you can buy almost anything if you shell out he cash but what often goes unnoticed is that you can get all frames and weapons by playing the game no real money required,8
is this the best model,1
no it is not but is is a lot better than other systems,1
also there are no loot boxes which is nice,-1
so its a good game with incredible customization gameplay and fashion wonderful quests not spoiling those here they are great trust me fair monetization and a pretty good community,-1
its definitely a slow burn but it is a great game like no other,-1
a must read review,40
soooo i wanna take the time to thank the last descendant for bringing me here,43
this is a much better game,-1
highly recommend giving it a few hours,20
gud gamestill gudye still a gud gamegud game still,71
good game play it for a little bit    over  years,-1
this is what a modern free to play game should admire to be,0
want a game where a community will welcome you with open arms,4
want a game that has a storyline that will kick you in the nuts so hard and still make you say that felt good,18
well warframe is all that and i guarantee that if you are a scifi lover and an mmo rpg lover then this game is the absolute best of both worlds,19
theres a reason why this game has so much respect in the gaming community,4
definitely give it a shot,20
an excellent example of fp game done right,10
pros  nice graphics  dynamic and engaging gameplay  unique visual style and story  good coop pve experience  nonintrusive and balanced monetization  excellent devs communication and feedback  game is constantly developing and new features become available regularly  cons  the gameplay becomes grindy over time  pvp is almost nonexistent  so i higly recommend this game if you are into coop pve thirdperson shooters,47
its a kind of game when if you get tired of it  you can always take a break return at some later point and see a lot of new and interesting stuff added with the latest updates,-1
the community is getting better,4
defintly recommend it to everybody amazing game and community,13
none of these things have changed but the game is pretty good,57
recommended,25
does not change the fact the game still has all the same amazing content it always had and more,57
love grind,3
big boom,6
crosssave worked back in action,-1
gameplay is solid and fun the lore can be hard to understand but is still interesting and the microtransactions not only feel more justified because you know freetoplay game but it doesnt get in the way of gameplay,-1
probably the only game where i spent money on the microtransactions and didnt regret it,-1
this game is just a better destiny,41
best community i have ever seen in a game,4
yes yes i would recommend it,25
reading is good thank you warframe xd,19
very good game at the start it can be overwhelming and seem boring but once you get into it the game is incredibly fun,-1
devs are great and very interactive with the fandom,11
its definitely support,-1
definitely,33
the game itself is a extremely solid third person shooter,22
satisfying,34
community is absolutely ace too,4
blown away by how much content is in a free game,0
ps the developers have a rather good pedigree too,11
yes yes yes,33
after playing destiny for a long time and finally deciding to actually try warframe i can safely say that this game is infinitely better than destiny,-1
the combat feels rewarding the customization feels rewarding the modding feels rewarding,-1
compared to destiny warframe makes you feel powerful,-1
nothing is paid for you can grind for everything you need and that is the best thing a free to play game can offer,3
have fun,61
trust me first impressions can be misleading but this is honestly one of the most fair fp games in the market,10
i started playing warframe from first release and im still playing,32
